gauge,gaugeName,token_symbol,token_price,gaugeWeight,totalVotes,manual_calc,yearnVotes,rewardsAvailable,rewardsAvailableUSD,yearn_current_power
0xDeFd8FdD20e0f34115C7018CCfb655796F6B2168,USDT+WBTC+WETH ,CRV,0.884149,24681059.5,24681059.5,24678556.77,7629872.739,125000,110518.625,1230
0x1cEBdB0856dd985fAe9b8fEa2262469360B8a3a6,WETH+CRV ,CRV,0.884149,27133900.98,27133900.98,27133658.31,1891960.313,125000,110518.625,305
0xe5d5Aa1Bbe72F68dF42432813485cA1Fc998DE32,ETH+LDO ,LDO,1.88,11671827.19,11671827.19,11671827.19,9614880.28,32000,60160,1550
0x555766f3da968ecBefa690Ffd49A2Ac02f47aa5f,arbi-USDT+WBTC+WETH ,CRV,0.880576,6799260.279,6799260.279,6798746.191,4249156.769,40000,35223.04,685
0x06B30D5F2341C2FB3F6B48b109685997022Bd272,COIL+FRAXBP ,USDC,1.001,8121741.457,8121741.457,8121741.457,0,33273.97104,33307.24501,0
0x40371aad2a24ed841316EF30938881440FD4426c,poly-CRV+crvUSDBTCETH ,CRV,0.884149,9732562.577,9732562.577,9732562.577,5955022.625,37500,33155.5875,960
0x3C0FFFF15EA30C35d7A85B85c0782D6c94e1d238,ETH+sETH ,SNX,2.43,3144002.05,3144002.05,3143715.417,0,5802.964415,14101.20353,0
0xA90996896660DEcC6E997655E065b23788857849,DAI+USDC+USDT+sUSD ,SNX,2.43,2690368.848,2690368.848,2690082.593,0,5497.556952,13359.06339,0
0x740BA8aa0052E07b925908B380248cb03f3DE5cB,alUSD+FRAXBP ,ALCX,17.26,2174015.911,2174015.911,2173212.762,1985007.542,513.2466347,8858.636915,320
0x12dCD9E8D1577b5E4F066d8e7D404404Ef045342,ETH+alETH ,ALCX,17.26,2125000.817,2125000.817,2124280.96,1985007.542,504.3108625,8704.405487,320
0x98ff4EE7524c501F582C48b828277D2B42bbc894,OGV+ETH ,OGV,0.00743,1571076.501,1571076.501,1571041.518,0,1004540.843,7463.738467,0
0xB721Cc32160Ab0da2614CC6aB16eD822Aeebc101,xdai-WXDAI+USDC+USDT ,GNO,107.99,689113.4352,689113.4352,689075.1211,0,31.25,3374.6875,0
0x941C2Acdb6B85574Ffc44419c2AA237a9e67be03,ETH+msETH ,MET,1.38,537717.5144,537717.5144,537700.8561,0,2000,2760,0
0x9582C4ADACB3BCE56Fea3e590F05c3ca2fb9C477,alUSD+3Crv ,ALCX,17.26,538882.6985,538882.6985,538753.8016,0,146.9460261,2536.288411,0
0xBdCA4F610e7101Cc172E2135ba025737B99AbD30,UZD+FRAXBP ,CRV,0.884149,2086196.915,2086196.915,2086196.915,0,2678,2367.751022,0
0x824F13f1a2F29cFEEa81154b46C0fc820677A637,ETH+rETH ,FIS,0.404931,349430.1608,349430.1608,349430.1608,0,5020.424542,2032.92553,0
0x663FC22e92f26C377Ddf3C859b560C4732ee639a,CRV+sdCRV ,SDT,0.425957,314070.9126,314070.9126,314009.5424,0,4115,1752.813055,0
0xda7F9DD286577cC338047B040c289463743a474e,GUSD+FRAXBP ,FXS,7.56,217412.5562,217412.5562,217412.5562,0,230.25,1740.69,0
0x06f691180F643B35E3644a2296a4097E1f577d0d,OHM+FRAXBP ,FXS,7.56,269628.1203,269628.1203,269348.2606,0,214.145,1618.9362,0
0xd5f2e6612E41bE48461FDBA20061E3c778Fe6EC4,msUSD+FRAXBP ,MET,1.38,262717.0941,262717.0941,262662.1216,0,1000,1380,0
0xF2dDF89C04d702369Ab9eF8399Edb99a76e951Ce,arbi-VST+FRAX ,FXS,7.56,166462.7433,166462.7433,166462.7433,0,172.75,1305.99,0
0x95285Ea6fF14F80A2fD3989a6bAb993Bd6b5fA13,arbi-FRAX+USDC ,FXS,7.56,166424.3871,166424.3871,166424.3871,0,167.5,1266.3,0
0x0C26be8617D41c3e3D7Faf045EDF2aBBD596A427,ftm-axlUSDC+USDC ,AXL,0.554293,212863.0352,212863.0352,212863.0352,0,2100.58936,1164.341978,0
0xf6D7087D4Ae4dCf85956d743406E63cDA74D99AD,sUSD+FRAXBP ,FXS,7.56,76455.7866,76455.7866,76455.7866,0,124.565,941.7114,0
0x389Fc079a15354E9cbcE8258433CC0F85B755A42,LUSD+FRAXBP ,FXS,7.56,82768.22858,82768.22858,82768.22858,0,66.045,499.3002,0
0xa8Ea11465A1375BF42463C3B613dFC54248b9C7B,XAI+FRAXBP ,FXS,7.56,77497.4215,77497.4215,77417.46158,0,63.525,480.249,0
0xB3783f527B7704DeeD4993f7c1c779E426A04368,MAI+FRAXBP ,FXS,7.56,26.93803814,26.93803814,26.93803814,0,39.315,297.2214,0
0x4B960396011A914B4ccCC3b33DFEE83A97A9D766,op-FRAX+USDC ,FXS,7.56,4588.508204,4588.508204,4588.508204,0,35.25,266.49,0
0xCf79921D99b99FEe3DcF1A4657fCDA95195B46d1,RSR+FRAXBP ,FXS,7.56,40940.63312,40940.63312,40940.63312,0,29,219.24,0
0x455279344f84a496615DC0ffa0511D2E19ec19d8,BADGER+FRAXBP ,FXS,7.56,19327.89078,19327.89078,19287.91082,0,28.5,215.46,0
0x06B30D5F2341C2FB3F6B48b109685997022Bd272,COIL+FRAXBP ,FXS,7.56,8121741.457,8121741.457,8121741.457,0,22.15,167.454,0
0xAeac6Dcd12CC0BE74c8f99EfE4bB5205a1f9A608,BUSD+FRAXBP ,FXS,7.56,20.75670002,20.75670002,0,0,12.212,92.32272,0
0xf74175aCe638E612a0a3B09E6bE89795ff48E06D,agEUR+FRAXBP ,FXS,7.56,7928.641347,7928.641347,7928.641347,0,8.982395085,67.90690684,0
0xAeac6Dcd12CC0BE74c8f99EfE4bB5205a1f9A608,BUSD+FRAXBP ,FXS,7.56,20.75670002,20.75670002,0,0,4.8,36.288,0
0x4C1227ECC3F99A3e510DB26fBa72F7A1cBF50586,arbi-axlUSDC+FRAXBP-f ,FXS,7.56,0,0,0,0,3.55,26.838,0
0xB1F2cdeC61db658F091671F5f199635aEF202CAC,renBTC+WBTC ,CRV,0.880576,83152.24646,83152.24646,83152.24646,0,0.05,0.0440288,0
0xe5d5Aa1Bbe72F68dF42432813485cA1Fc998DE32,ETH+LDO ,LDO,1.88,11671827.19,11671827.19,11671827.19,9614880.28,0,0,1550
0xDeFd8FdD20e0f34115C7018CCfb655796F6B2168,USDT+WBTC+WETH ,CRV,0.884149,24681059.5,24681059.5,24678556.77,7629872.739,0,0,1230
0x40371aad2a24ed841316EF30938881440FD4426c,poly-CRV+crvUSDBTCETH ,CRV,0.884149,8777764.456,8777764.456,8777702.677,5955022.625,0,0,960
0x555766f3da968ecBefa690Ffd49A2Ac02f47aa5f,arbi-USDT+WBTC+WETH ,CRV,0.884149,6799260.279,6799260.279,6798746.191,4249156.769,0,0,685
0x1cEBdB0856dd985fAe9b8fEa2262469360B8a3a6,WETH+CRV ,CRV,0.884149,27133900.98,27133900.98,27133658.31,1891960.313,0,0,305
0x663FC22e92f26C377Ddf3C859b560C4732ee639a,CRV+sdCRV ,SDT,0.425957,314070.9126,314070.9126,314009.5424,0,0,0,0
0x6a69FfD1353Fa129f7F9932BB68Fa7bE88F3888A,YFI+sdYFI ,SDT,0.425957,10553.70688,10553.70688,10542.96983,0,0,0,0
0xa9A9BC60fc80478059A83f516D5215185eeC2fc0,FXS+sdFXS ,SDT,0.425957,62130.24301,62130.24301,62124.94803,0,0,0,0
0xBdCA4F610e7101Cc172E2135ba025737B99AbD30,UZD+FRAXBP ,CRV,0.884149,2086196.915,2086196.915,2086196.915,0,0,0,0
0x06f691180F643B35E3644a2296a4097E1f577d0d,OHM+FRAXBP ,FXS,7.56,269628.1203,269628.1203,269348.2606,0,0,0,0
0xda7F9DD286577cC338047B040c289463743a474e,GUSD+FRAXBP ,FXS,7.56,217412.5562,217412.5562,217412.5562,0,0,0,0
0xf6D7087D4Ae4dCf85956d743406E63cDA74D99AD,sUSD+FRAXBP ,FXS,7.56,76455.7866,76455.7866,76455.7866,0,0,0,0
0xa8Ea11465A1375BF42463C3B613dFC54248b9C7B,XAI+FRAXBP ,FXS,7.56,77497.4215,77497.4215,77417.46158,0,0,0,0
0x389Fc079a15354E9cbcE8258433CC0F85B755A42,LUSD+FRAXBP ,FXS,7.56,82768.22858,82768.22858,82768.22858,0,0,0,0
0xCf79921D99b99FEe3DcF1A4657fCDA95195B46d1,RSR+FRAXBP ,FXS,7.56,40940.63312,40940.63312,40940.63312,0,0,0,0
0x455279344f84a496615DC0ffa0511D2E19ec19d8,BADGER+FRAXBP ,FXS,7.56,19327.89078,19327.89078,19287.91082,0,0,0,0
0xB3783f527B7704DeeD4993f7c1c779E426A04368,MAI+FRAXBP ,FXS,7.56,26.93803814,26.93803814,26.93803814,0,0,0,0
0x941C2Acdb6B85574Ffc44419c2AA237a9e67be03,ETH+msETH ,MET,1.38,536406.0187,536406.0187,536389.2791,0,0,0,0
0xB721Cc32160Ab0da2614CC6aB16eD822Aeebc101,xdai-WXDAI+USDC+USDT ,GNO,107.99,689113.4352,689113.4352,689075.1211,0,0,0,0
0x8c1DFF7B6c20240C31f4F5BdFbC09ec6fF788d7a,eCFX+ETH ,eCFX,0.307735,4102375.739,4102375.739,4102375.739,0,0,0,0
